model_id,validation,threshold,net_benefit_model,net_benefit_all,net_benefit_none
LR-MOV-A,MOVER_to_INSPIRE,0.085,0.0008097671618122023,-0.08099906079704061,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.09,0.0007397419984832573,-0.08693861607614521,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.095,0.0007022016062699137,-0.09294380180032281,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.1,0.0006732262624518516,-0.09901571181032462,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.02,0.004333008662012991,-0.009300143499277701,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.025,0.003912171744339577,-0.014476041671068867,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.03,0.0035581991220854075,-0.019705299617826952,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.035,0.003315642505468224,-0.02498874676610585,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.04,0.0031027707795384563,-0.030327229822179322,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.045,0.0028884507704117412,-0.03572161322438968,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.05,0.0026560951600824003,-0.041172779609781204,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.055,0.002468620874905948,-0.04668163029554724,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.06,0.0023732506002009553,-0.0522490857758427,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.065,0.0022525593745817375,-0.05787608623453706,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.07,0.002148124011923295,-0.06356359207450771,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.075,0.0020172747445474717,-0.06931258446409962,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.08,0.0018430308285380748,-0.07512406590140451,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.085,0.001737819257276121,-0.08099906079704061,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.09,0.0016622417554818488,-0.08693861607614521,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.095,0.0015584678233263533,-0.09294380180032281,0.0
LR-MOV-B,MOVER_to_INSPIRE,0.1,0.0014685401890789094,-0.09901571181032462,0.0
