model_name,internal_dataset,external_dataset,feature,mean_abs_shap_internal,mean_abs_shap_external,rank_internal,rank_external,rank_delta,spearman_rho_internal_vs_external
XGB-INS-B,INSPIRE,MOVER,etco2_std,0.011627716,0.020466918,50.0,42.0,-8.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,etco2_first,0.0053820154,0.0072949575,81.0,76.0,-5.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,etco2_last,0.040827624,0.04402679,20.0,18.0,-2.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,etco2_n,0.0010170742,0.00086227467,113.0,114.0,1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,fio2_mean,0.04391539,0.025252875,17.0,34.0,17.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,fio2_min,0.006221013,0.006403694,78.0,84.0,6.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,fio2_max,0.0018529054,0.0028745062,107.0,105.0,-2.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,fio2_std,0.017455114,0.020750405,40.0,41.0,1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,fio2_first,0.013323529,0.016047826,49.0,52.0,3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,fio2_last,0.008900551,0.011102264,66.0,62.0,-4.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,fio2_n,0.0012695728,0.0010416567,112.0,113.0,1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,o2_flow_lpm_mean,0.011164652,0.007703918,53.0,70.0,17.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,o2_flow_lpm_min,0.0021093462,0.0053475224,104.0,91.0,-13.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,o2_flow_lpm_max,0.0019305391,0.0059077316,106.0,90.0,-16.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,o2_flow_lpm_std,0.009946936,0.021857439,57.0,39.0,-18.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,o2_flow_lpm_first,0.0015580921,0.0018844733,110.0,111.0,1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,o2_flow_lpm_last,0.0033212532,0.0032245447,94.0,102.0,8.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,o2_flow_lpm_n,0.0005772126,0.0002323815,114.0,116.0,2.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_slope,0.03711893,0.042828374,21.0,19.0,-2.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_r2,0.026278408,0.031033602,31.0,27.0,-4.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_slope,0.009149198,0.01433554,64.0,55.0,-9.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_r2,0.00985731,0.016433964,59.0,51.0,-8.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_slope,0.010445515,0.0092678,55.0,66.0,11.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_r2,0.020687493,0.018076345,34.0,49.0,15.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_slope,0.006261037,0.006929155,77.0,80.0,3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_r2,0.023489015,0.019861896,32.0,43.0,11.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,temp_slope,0.014194629,0.022477211,47.0,36.0,-11.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,temp_r2,0.01003545,0.01218262,56.0,60.0,4.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_cv,0.04266314,0.045083676,19.0,17.0,-2.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_cv,0.031628583,0.026393155,27.0,33.0,6.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_cv,0.032516032,0.037723765,26.0,23.0,-3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_cv,0.009175367,0.009317466,63.0,65.0,2.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,temp_cv,0.0036299278,0.0042782086,91.0,94.0,3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_below_65,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_below_55,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_below_92,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_below_88,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_above_100,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_above_120,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_below_50,3.6210542e-05,3.2079348e-05,117.0,117.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,temp_below_35,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,temp_above_38,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-MOV-B,MOVER,INSPIRE,age,0.37719926,0.2784398,3.0,4.0,1.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sex,0.10274267,0.086154304,14.0,16.0,2.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,height_cm,0.23487078,0.14337994,4.0,8.0,4.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,weight_kg,0.20819272,0.15952063,5.0,5.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,bmi,0.38147238,0.3351273,2.0,3.0,1.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,asa,1.7034982,2.4211926,1.0,1.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,emergency,0.08574628,0.061112586,16.0,30.0,14.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,anesthesia_type,0.045405135,0.048307665,47.0,42.0,-5.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,department,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,high_asa,0.18162876,0.41915512,6.0,2.0,-4.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,high_asa_emergency,0.1413261,0.1323582,8.0,9.0,1.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,hr_mean,0.13363774,0.14866062,10.0,7.0,-3.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,hr_min,0.075603426,0.06911481,21.0,23.0,2.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,hr_max,0.054012768,0.056360517,34.0,33.0,-1.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,hr_std,0.046943285,0.03754786,44.0,58.0,14.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,hr_first,0.13608545,0.10072766,9.0,12.0,3.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,hr_last,0.11154762,0.1161427,11.0,11.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,hr_n,0.024316465,0.043903943,87.0,51.0,-36.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,spo2_mean,0.072846435,0.061960485,24.0,29.0,5.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,spo2_min,0.04577081,0.05256896,46.0,37.0,-9.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,spo2_max,0.011017697,0.009525699,106.0,108.0,2.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,spo2_std,0.0620756,0.057494473,28.0,32.0,4.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,spo2_first,0.021112975,0.01803914,92.0,101.0,9.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,spo2_last,0.02073425,0.02291951,93.0,86.0,-7.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,spo2_n,0.052777763,0.032459293,38.0,63.0,25.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,rr_mean,0.10384025,0.08509856,13.0,17.0,4.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,rr_min,0.060002334,0.07251649,30.0,21.0,-9.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,rr_max,0.03449655,0.032012187,64.0,66.0,2.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,rr_std,0.0333423,0.02489683,68.0,82.0,14.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,rr_first,0.045981877,0.032466512,45.0,62.0,17.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,rr_last,0.026327781,0.021158285,84.0,94.0,10.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,rr_n,0.044647843,0.0660288,49.0,26.0,-23.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,temp_mean,0.04368022,0.047652382,51.0,44.0,-7.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,temp_min,0.029981105,0.030124001,76.0,69.0,-7.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,temp_max,0.04157883,0.03606267,56.0,59.0,3.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,temp_std,0.05740639,0.086858824,31.0,14.0,-17.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,temp_first,0.034019627,0.027083965,67.0,79.0,12.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,temp_last,0.026807481,0.03221858,82.0,65.0,-17.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,temp_n,0.018259097,0.02065406,97.0,95.0,-2.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_max_mean,0.00019942335,7.086512e-05,116.0,119.0,3.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_max_min,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_max_max,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_max_std,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_max_first,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_max_last,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_max_n,0.0005605256,0.00020238826,113.0,115.0,2.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_max_mean,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_max_min,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_max_max,0.00017058918,0.00012185585,117.0,117.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_max_std,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_max_first,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_max_last,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_max_n,0.00013964309,8.764787e-05,119.0,118.0,-1.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,etco2_mean,0.05675987,0.043931525,32.0,50.0,18.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,etco2_min,0.009366821,0.023147378,107.0,85.0,-22.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,etco2_max,0.05196486,0.026335591,40.0,80.0,40.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,etco2_std,0.16105053,0.15591699,7.0,6.0,-1.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,etco2_first,0.034766275,0.022848547,63.0,87.0,24.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,etco2_last,0.053711444,0.045163073,37.0,47.0,10.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,etco2_n,0.012551282,0.04138179,103.0,53.0,-50.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,fio2_mean,0.08331856,0.12638061,19.0,10.0,-9.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,fio2_min,0.04527519,0.040645026,48.0,54.0,6.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,fio2_max,0.017117105,0.010586238,98.0,107.0,9.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,fio2_std,0.0678154,0.048442334,25.0,41.0,16.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,fio2_first,0.04317586,0.05795678,53.0,31.0,-22.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,fio2_last,0.06256931,0.08618913,27.0,15.0,-12.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,fio2_n,0.006737518,0.011042861,109.0,106.0,-3.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,o2_flow_lpm_mean,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,o2_flow_lpm_min,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,o2_flow_lpm_max,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,o2_flow_lpm_std,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,o2_flow_lpm_first,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,o2_flow_lpm_last,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,o2_flow_lpm_n,0.0,0.0,120.0,120.0,0.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_art_mean,0.015776763,0.013052131,99.0,105.0,6.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_art_min,0.01116385,0.0134784905,105.0,103.0,-2.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_art_max,0.034381457,0.022337893,65.0,90.0,25.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_art_std,0.030340314,0.018587291,73.0,99.0,26.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_art_first,0.030184597,0.022535238,75.0,89.0,14.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_art_last,0.027016822,0.027588718,80.0,76.0,-4.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,sbp_art_n,0.09871627,0.047393706,15.0,45.0,30.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_art_mean,0.012622203,0.013126958,102.0,104.0,2.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_art_min,0.020360356,0.0275807,94.0,77.0,-17.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_art_max,0.030193003,0.05468171,74.0,34.0,-40.0,0.9306799482194965
XGB-MOV-B,MOVER,INSPIRE,dbp_art_std,0.021949593,0.0490707,90.0,40.0,-50.0,0.9306799482194965
